What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
<latex>~\\<br>There exists a value in $\mbf{B}_{\bot} \to \mbf{B}_{\bot} \to \mbf{B}_{\bot}$, called<br>\emph{parallel or}, which is not the meaning of any closed expression in any of Reynolds' languages.<br>Give the definition of parallel or, and explain why it does not serve as the denotation of some term in any of Reynolds' semantics.<br></latex>	pg 9045, top right<br><br>
<latex>~\\<br>Let $\mathcal C$ and $\mathcal D$ be fixed categories with finite products, and let M be any model of a fixed algebraic thoery \emph{Th} in $\mathcal C$. How is the family of \emph{modelling} functors<br>$Ap_M$ defined? <br></latex>	pg 4180, top right
<br>An algebraic theory freely generates a __________.<br><br>	classifying category<br>pg 4180, right, discussion 3.8.1.<br>
<latex>~\\<br>Let \emph{Th} be an algebraic theory.<br>What does it mean for a category \emph{Cl(Th)} with finite products to be the \emph{classifying} category of \emph{Th}? <br></latex>	pg 4180, bottom right<br>
What does it mean for a model of a theory to be <i>generic</i>?	pg 4180, bottom right<br>
<br>A model of a theory is kind of like a "heterogeneous functor" from a ________ to a __________.<br>A model homomorphism is therefore like a _________.<br>	Theory, category, natural transformation.<br>This isn't in the book, but I find the analogy important.<br>The relevant material is on pg 4180 left<br>
<latex>~\\<br>Let \emph{Th} be an algebraic theory and \emph{Cl(Th)} a category with finite products for which there is a model $\mbf{G}$ of \emph{Th} in \emph{Cl(Th)}. Suppose that given any category $\mathcal D$ with finite products there is an equivalence <br>$$Ap_{\mbf{G}} : \mathcal{FP}(Cl(Th),D) \to \mathcal{M}od(Th,\mathcal{D})$$<br>Consider the following statement:\\~\\<br>Whenever \emph{Cl(Th)'} and $\mathbf{G}'$ also have the above property, there is an equivalence $Eq : Cl(Th) \simeq Cl(Th)'$ for which $Eq_{\ast} \mbf{G} \cong \mbf{G}'$.\\~\\<br>Prove or disprove.<br></latex>	true. pg 4180, bottom right. pg 4181, top left.<br>todo: add impostor?
<latex>~\\<br>Consider the following statement:\\~\\<br>For any model M of an algebraic theory \emph{Th} in a category $\mathcal D$ with finite products, there is a functor $F : Cl(Th) \to \mathcal D$ which preserves finite products, for which the composition of the semantics of \emph{Th} given by the generic model $\mbf{G}$ in \emph{Cl(Th)} with the functor $F$ yields the semantics given to \emph{Th} by the model $\mbf{M}$, up to isomorphism.\\~\\<br>Prove or disprove.<br></latex>	pg 4181, left, corollary 3.8.3<br>todo: add impostor?<br><br>
Why is <i>Cl(Th)</i> considered the "smallest" category with finite products in which there is a model of <i>Th</i>. Draw a diagram.<br>	pg 3181, left, near bottom<br>
<latex>~\\<br>Explain the category $\mathcal{FSMR}$ of finite sets and multirelations. Does it have finite products?<br></latex><br>	pg 4181, top right<br><br>
Consider the algebraic theory of commutative monoids described on pg 4178 left.<br>Give a classifying category for this theory, along with its generic model.<br>	pg 4181 right
What are the operands of relational algebra?	Either constant relations or variables denoting relations of a fixed arity.<br>pg 72, near bottom above numbered points<br><br>
There are five basic operations that serve to define relational algebra. List them here.<br>	union, set difference, cartesian product, projection, selection<br>pg 72 bottom, pg 73<br><br>
Explain the relational union operator.	pg 72<br>
Explain the relational "set difference" operator.	pg 72 bottom / 73
Explain the cartesian product operator of relational algebra.<br>	pg 73, 3.<br><br>
Explain the projection operator of relational algebra.	pg 73 4.)<br>
Explain the selection operator of relational algebra.	pg 73. 5)<br>
<latex>~\\<br>Examine the relations in figure 2.9 at the bottom of page 73.<br>Give $R \cup S$, $R - S$, $R \times S$, $\pi_{A,C} R$, and $\sigma_{B=b}(R)$.<br></latex>	pg 74, example 2.15<br><br>
<latex>~\\<br>If $R$ and $S$ are relations, what does $R \underset{i \theta j}{\bowtie} S$ denote?<br></latex>	pg 76, text under "join"<br>
What is an <i>equijoin</i>?	pg 76, text under "Join"
<latex>~\\<br>If $R$ and $S$ are relations with named attributes, what does $R \bowtie S$ denote?<br></latex>	the natural join, pg 77 bottom<br>
<latex>~\\<br>If $R$ and $S$ are relations with named attributes, what is the \emph{semijoin} of $R$ and $S$?<br></latex>	pg 77, near bottom<br>
<latex>~\\<br>Give some algebraic properties of the natural join operator $\bowtie$, and intuitively justify them.<br></latex><br>	pg 79, thm 2.2<br>
What is a universal construction, and why are universal constructions significant?	pg 9540<br>
What logical proposition does the categorical construct of a terminal object correspond to?	constant truth<br>pg 9542<br>
Consider the following statement:<br>When they exist, products of objects are unique up to a unique projection-preserving isomorphism.<br>Prove or disprove.	true. pg 9546<br>
Give a brief summary of the Yoneda prinicple. It is a generalization of a statement pertaining to a preorded set: which one?	pg 9567, near bottom
<latex>~\\<br>Let $F_1, F_2 : \mathbb A \pile{\rTo \\ \rTo} \mathbb{B}$.<br>Let $G_1, G_2 : \mathbb B \pile{\rTo \\ \rTo} \mathbb{C}$.<br>Let $\alpha : F_1 \to F_2$, $\beta : G_1 \to G_2$.<br>How is the parallel composition $\alpha \cdot \cdot \beta$ defined?<br></latex>	pg 9573<br>
<latex>~\\<br>Let $F_1, F_2 : \mathbb A \pile{\rTo \\ \rTo} \mathbb{B}$.<br>Let $G_1, G_2 : \mathbb B \pile{\rTo \\ \rTo} \mathbb{C}$.<br>Let $\alpha : F_1 \to F_2$, $\beta : G_1 \to G_2$.<br>Consider the following statement:\\~\\<br>$G_1(\alpha(A)) \cdot \beta(F_2(A)) = \beta(F_1(A)) \cdot G_2(\alpha(A))$\\~\\<br>Prove or disprove.<br></latex>	true. pg 9573.<br>todo: add impostor?<br>
<latex>~\\<br>Let $F_1, F_2 : \mathbb A \pile{\rTo \\ \rTo} \mathbb{B}$.<br>Let $G_1, G_2 : \mathbb B \pile{\rTo \\ \rTo} \mathbb{C}$.<br>Let $\alpha : F_1 \to F_2$, $\beta : G_1 \to G_2$.<br>Consider the following statement:\\~\\<br>$\alpha \cdot \cdot \beta$, defined as follows, is indeed a natural transformation.\\~\\<br>$(\alpha \cdot \cdot \beta)(A) = G_1(\alpha(A)) \cdot \beta(F_2(A)) = \beta(F_1(A)) \cdot G_2(\alpha(A))$\\~\\<br>Prove or disprove.<br></latex>	cube diagram on pg 9574<br>
Give the definition of a 2-category.	pg 9575
Give an example of a 2-category.<br>	The category Cat of small categories, functors between them, and natural transformations between the functors.<br><br>pg 9575<br>
2-categories satisfy an <i>interchange law</i>. Give the interchange law.<br>	pg 9575<br>
<latex>~\\<br>Let $F, G, H : \mathbb A \pile{\rTo \\ \rTo} \mathbb{B}$.<br>Let $I, J, K : \mathbb B \pile{\rTo \\ \rTo} \mathbb{C}$.<br>Let $\alpha : F \to G$, $\beta : G \to H$, $\gamma : I \to J$, $\delta : J \to K$.<br>\\~\\<br>Draw a string diagram representing the interchange law $(\alpha \cdot \beta) \cdot \cdot (\gamma \cdot \delta) = (\alpha \cdot \cdot \gamma) \cdot (\beta \cdot \cdot \delta)$<br></latex>	pg 9575<br>
Examine diagram 4.1 at the top of pg 9574.<br>Draw a string diagram depicting this situation.	pg 9576, bottom
Explain the concept of "naturality as independence", possibly providing some sort of diagram depicting the concept.	pg 9576, bottom<br>
Do exercise 4.2.2.1, pg 9577<br>	<br>
There is a handy "trick" for transforming diagrams within a category into string diagrams using global elements.<br>Explain, and draw a string diagram to support the explanation.<br>	pg 9577 top<br>
Give the behavioral ("zig-zag") definition of an adjunction. Also draw string diagrams corresponding to this definition.<br>	pg 9577 bottom/9578 top<br>
Give the "natural bijection of hom-sets" definition of adjunctions.<br>	pg 9578, near bottom<br>
With respect to an adjunction $F \dashv G$, what is an adjoint complement?	pg 9578, bottom<br>
What does it mean for a bijection of hom sets to be <i>natural</i>?<br>	pg 9579, near top<br><br>
Explain how the categorical nature of propositional implication relates to its local soundness/reduction.<br>	the important part is the bottom half of the adjunction, its equation, and the structure of the local reduction.<br>pg 9582<br>
What is the categorical concept corresponding to eta expansion?<br>	it is "identity expansion", the equation given on the bottom of pg 9582. see also top of pg 9583<br><br>
Do exercise 3.4.1.5 on pg 9564<br>(yes, this is not part of chapter 4, but it's interesting)<br>	pg 9564<br>
<latex>~\\<br>How is the diagonal functor $\Delta : \mathbb C \to \mathbb C \times \mathbb C$ defined?<br>Does it have a right adjoint?<br></latex>	pg 9584, bottom<br>pg 9585, top<br>
The universal property of the products is just the universal property of ___________.<br>	The counit of the adjunction between Delta and - x -.<br>pg 9585, center<br>
<latex>~\\<br>By connective harmony, negatively presented propositional connectives ($\supset$, $\wedge$, $\top$) have the property that there is an adjunction $F \dashv G$ such that:\\~\\<br>\begin{itemize}<br>\item their introduction rule is interpreted by \underline{~~~~~~~~~~~~~~~~~~~}<br>\item their elimination rule is interpreted by \underline{~~~~~~~~~~~~~~~~~}<br>\item their local reduction is interpreted by \underline{~~~~~~~~~~~~~~~~~~~}<br>\item their local expansion is interpreted by \underline{~~~~~~~~~~~~~~~~~~~~}<br>\end{itemize} <br></latex>	pg 9583 near bottom<br><br>for the last one, the lemma statement at the bottom of pg 9561 <br>and its proof at the top of pg 9562 are extremely helpful.<br>
<latex>~\\<br>Explain the $\wedge$ propositional connective through the lens of connective harmony.<br></latex>	pg 9585<br>
<latex>~\\<br>Modulo \emph{context distributivity}, for positively-presented propositional connectives ($\vee$ and $\bot$),<br>there is an adjunction $F \dashv G$ such that:\\~\\<br>\begin{itemize}<br>\item their introduction rule is interpreted by \underline{~~~~~~~~~~~~~~~~~}<br>\item their elimination rule is interpreted by \underline{~~~~~~~~~~~~~~~~}<br>\item their local reduction is interpreted by \underline{~~~~~~~~~~~~~~~~~~~~~}<br>\item their identity local expansion is interpreted by \underline{~~~~~~~~~~~~~~~~~~~~}<br>\end{itemize} <br></latex>	pg 9584<br>
Explain coproducts through the lens of connective harmony.	pg 9586, near bottom<br>
A cartesian closed category is not restricted enough to interpret the elimination rule for propositional disjunction. What extra restriction is needed, and why?<br>	<br>setup is on bottom of pg 9559<br>explanation is on top of pg 9560<br><br>the full rule, as opposed to the preliminary rule, as a background context Gamma<br>the key is that the background context (Gamma is identified with X) is used in each case of the eliminator<br>
Explain the truth propositional connective (i.e. nullary product) T through the lens of connective harmony.<br>	pg 9588<br>
What is a presheaf?	pg 9592/9593
What does it mean for a presheaf to be <i>representable</i>?	pg 9592/9593
What is an <i>indexed category</i>? What is a <i>fiber</i>? What is a <i>reindexing functor</i>?<br>What is an <i>indexed bicartesian closed category</i>?	pg 9593, def 5.1.3.1<br>
When interpreting predicate logic categorically, terms are interpreted over some cartesian closed category, and predicates are interpreted over ________.	some indexed category over a base category interpreteing typing contexts and terms.<br>pg 9596<br>
Give the subtyping rules for intersection types.	pg 9053, bottom left<br>
<latex>~\\<br>Give the subtyping rule for distributivity of intersection and $\to$.<br></latex><br>	pg 9054, left<br><br>
<latex>~\\<br>Give a subtyping rule which demonstrates how intersection types relate to named product types.<br></latex><br>	pg 9054, left "Named Products as Intersections"<br><br>
Give the "distributivity of intersection and named products" subtyping rule.<br>	pg 9054, left<br><br>
Give Reynolds' "Distributivity of intersection and named sums" subtyping rule.	pg 9054<br>
Explain Reynolds' "nonsense type" <b>ns</b>. What are its typing and subtyping rules?<br>	pg 9054 right<br>
Discuss the pros and cons of including a "nonsense type" in a language.	pg 9054, bottom right quadrant<br>
State the "conservation of typing judgments" property that Reynolds' system with typing judgments has.<br>	pg 9054, bottom right<br>pg 9055, top left<br><br>
What basic changes are used to update the extrinsic semantic domains to account for subtyping and intersection types?	pg 9055, bottom left / top right<br>
Give the semantic equations for named tuple introduction and elimination, in Reynolds' type system with subtyping and intersection types.	pg 9055, right<br><br>
Give the semantic equations for the introduction and elimination of named alternatives.	pg 9055, bottom right<br>
For Reynolds' type system with subtyping and intersection types, give PER definitions<br>for named product types, intersection, and nonsense (<b>ns</b>) types.<br> 	pg 9056, left<br><br>
<latex>~\\<br>Look at the semantics given on pg 9056, top left. Consider the following theorem:\\~\\<br>For all types $\theta$, $\mathcal P(\theta)$ is a partial equivalence relation.\\~\\<br>Prove or disprove.<br></latex>	true. see text below semantics on pg 9056<br>
<latex>~\\<br>Look at the semantics given on pg 9056, top left. Consider the following theorem:\\~\\<br>For all types $\theta$, $\mathcal P(\theta)$ is a "chain-complete" relation, that is, for all chains <br>$x_0 \sqsubseteq x_1 \sqsubseteq \cdots$ and $x'_0 \sqsubseteq x'_1 \sqsubseteq \cdots$ <br>of members of $V_{\ast}$:<br>$$ If \langle x_i, x'_i \rangle \in \mathcal P(\theta) \text{ for all } i \geq 0, \text{ then } <br>\langle \bigsqcup_{i=0}^{\infty} x_i, \bigsqcup_{i=0}^{\infty} x_i \rangle \in \mathcal P(\theta)$$<br>Prove or disprove.<br></latex>	true. see text below semantics on pg 9056<br>
